Cityscale图像分割可视化统计报告
==================================================
权重文件: weights/SwinT_OA_Cityscale_best_loss.th
输入尺寸: (512, 512)
可视化样本数: 432
保存目录: results/cityscale
合并可视化图像: results/cityscale/sample_*.png
原始图像目录: results/cityscale/images/
真实掩码目录: results/cityscale/gt/
预测掩码目录: results/cityscale/pred/
--------------------------------------------------
平均性能指标:
Dice系数: 0.6483
IoU: 0.4941
F1分数: 0.6483
精确率: 0.6284
召回率: 0.6798
==================================================

各样本详细指标:
--------------------------------------------------
样本 067: Dice=0.647, IoU=0.478, F1=0.647, Precision=0.574, Recall=0.741
样本 068: Dice=0.794, IoU=0.658, F1=0.794, Precision=0.769, Recall=0.821
样本 069: Dice=0.754, IoU=0.605, F1=0.754, Precision=0.778, Recall=0.732
样本 070: Dice=0.821, IoU=0.697, F1=0.821, Precision=0.795, Recall=0.850
样本 071: Dice=0.610, IoU=0.439, F1=0.610, Precision=0.613, Recall=0.607
样本 072: Dice=0.637, IoU=0.467, F1=0.637, Precision=0.566, Recall=0.728
样本 073: Dice=0.728, IoU=0.573, F1=0.728, Precision=0.686, Recall=0.775
样本 074: Dice=0.763, IoU=0.616, F1=0.763, Precision=0.729, Recall=0.799
样本 075: Dice=0.793, IoU=0.657, F1=0.793, Precision=0.783, Recall=0.804
样本 076: Dice=0.742, IoU=0.590, F1=0.742, Precision=0.699, Recall=0.792
样本 077: Dice=0.508, IoU=0.340, F1=0.508, Precision=0.628, Recall=0.426
样本 078: Dice=0.538, IoU=0.368, F1=0.538, Precision=0.485, Recall=0.603
样本 079: Dice=0.750, IoU=0.600, F1=0.750, Precision=0.706, Recall=0.801
样本 080: Dice=0.462, IoU=0.301, F1=0.462, Precision=0.699, Recall=0.345
样本 081: Dice=0.721, IoU=0.564, F1=0.721, Precision=0.649, Recall=0.811
样本 082: Dice=0.700, IoU=0.538, F1=0.700, Precision=0.641, Recall=0.770
样本 083: Dice=0.599, IoU=0.427, F1=0.599, Precision=0.498, Recall=0.750
样本 084: Dice=0.572, IoU=0.400, F1=0.572, Precision=0.611, Recall=0.538
样本 085: Dice=0.503, IoU=0.336, F1=0.503, Precision=0.478, Recall=0.530
样本 086: Dice=0.711, IoU=0.552, F1=0.711, Precision=0.738, Recall=0.686
样本 087: Dice=0.734, IoU=0.580, F1=0.734, Precision=0.690, Recall=0.785
样本 088: Dice=0.674, IoU=0.508, F1=0.674, Precision=0.626, Recall=0.730
样本 089: Dice=0.682, IoU=0.518, F1=0.682, Precision=0.633, Recall=0.740
样本 090: Dice=0.707, IoU=0.546, F1=0.707, Precision=0.768, Recall=0.655
样本 091: Dice=0.677, IoU=0.512, F1=0.677, Precision=0.699, Recall=0.657
样本 092: Dice=0.782, IoU=0.642, F1=0.782, Precision=0.698, Recall=0.889
样本 093: Dice=0.735, IoU=0.581, F1=0.735, Precision=0.680, Recall=0.800
样本 094: Dice=0.724, IoU=0.567, F1=0.724, Precision=0.770, Recall=0.682
样本 095: Dice=0.635, IoU=0.466, F1=0.635, Precision=0.594, Recall=0.683
样本 096: Dice=0.560, IoU=0.389, F1=0.560, Precision=0.651, Recall=0.492
样本 097: Dice=0.851, IoU=0.741, F1=0.851, Precision=0.812, Recall=0.895
样本 098: Dice=0.596, IoU=0.425, F1=0.596, Precision=0.630, Recall=0.566
样本 099: Dice=0.652, IoU=0.484, F1=0.652, Precision=0.703, Recall=0.608
样本 100: Dice=0.561, IoU=0.390, F1=0.561, Precision=0.521, Recall=0.607
样本 101: Dice=0.580, IoU=0.408, F1=0.580, Precision=0.549, Recall=0.614
样本 102: Dice=0.450, IoU=0.291, F1=0.450, Precision=0.572, Recall=0.371
样本 103: Dice=0.761, IoU=0.614, F1=0.761, Precision=0.764, Recall=0.759
样本 104: Dice=0.000, IoU=0.000, F1=0.000, Precision=0.000, Recall=0.000
样本 105: Dice=0.695, IoU=0.533, F1=0.695, Precision=0.721, Recall=0.671
样本 106: Dice=0.649, IoU=0.481, F1=0.649, Precision=0.643, Recall=0.656
样本 107: Dice=0.650, IoU=0.481, F1=0.650, Precision=0.595, Recall=0.715
样本 108: Dice=0.702, IoU=0.541, F1=0.702, Precision=0.616, Recall=0.815
样本 109: Dice=0.204, IoU=0.114, F1=0.204, Precision=0.577, Recall=0.124
样本 110: Dice=0.000, IoU=0.000, F1=0.000, Precision=0.000, Recall=0.000
样本 111: Dice=0.654, IoU=0.486, F1=0.654, Precision=0.633, Recall=0.676
样本 112: Dice=0.746, IoU=0.595, F1=0.746, Precision=0.752, Recall=0.741
样本 113: Dice=0.655, IoU=0.488, F1=0.655, Precision=0.635, Recall=0.677
样本 114: Dice=0.739, IoU=0.585, F1=0.739, Precision=0.723, Recall=0.754
样本 115: Dice=0.735, IoU=0.580, F1=0.735, Precision=0.726, Recall=0.743
样本 116: Dice=0.604, IoU=0.433, F1=0.604, Precision=0.594, Recall=0.614
样本 117: Dice=0.461, IoU=0.299, F1=0.461, Precision=0.468, Recall=0.454
样本 118: Dice=0.464, IoU=0.302, F1=0.464, Precision=0.496, Recall=0.436
样本 119: Dice=0.582, IoU=0.410, F1=0.582, Precision=0.554, Recall=0.613
样本 120: Dice=0.857, IoU=0.750, F1=0.857, Precision=0.849, Recall=0.866
样本 121: Dice=0.671, IoU=0.505, F1=0.671, Precision=0.661, Recall=0.681
样本 122: Dice=0.742, IoU=0.590, F1=0.742, Precision=0.678, Recall=0.820
样本 123: Dice=0.690, IoU=0.527, F1=0.690, Precision=0.621, Recall=0.777
样本 124: Dice=0.413, IoU=0.260, F1=0.413, Precision=0.358, Recall=0.487
样本 125: Dice=0.664, IoU=0.497, F1=0.664, Precision=0.611, Recall=0.728
样本 126: Dice=0.625, IoU=0.455, F1=0.625, Precision=0.634, Recall=0.616
样本 127: Dice=0.805, IoU=0.673, F1=0.805, Precision=0.762, Recall=0.853
样本 128: Dice=0.756, IoU=0.608, F1=0.756, Precision=0.752, Recall=0.760
样本 129: Dice=0.707, IoU=0.547, F1=0.707, Precision=0.659, Recall=0.763
样本 130: Dice=0.570, IoU=0.399, F1=0.570, Precision=0.640, Recall=0.514
样本 131: Dice=0.752, IoU=0.603, F1=0.752, Precision=0.717, Recall=0.791
样本 132: Dice=0.759, IoU=0.612, F1=0.759, Precision=0.750, Recall=0.768
样本 133: Dice=0.683, IoU=0.519, F1=0.683, Precision=0.718, Recall=0.652
样本 134: Dice=0.663, IoU=0.496, F1=0.663, Precision=0.672, Recall=0.654
样本 135: Dice=0.770, IoU=0.626, F1=0.770, Precision=0.785, Recall=0.756
样本 136: Dice=0.779, IoU=0.638, F1=0.779, Precision=0.718, Recall=0.851
样本 137: Dice=0.799, IoU=0.666, F1=0.799, Precision=0.735, Recall=0.876
样本 138: Dice=0.508, IoU=0.341, F1=0.508, Precision=0.451, Recall=0.581
样本 139: Dice=0.694, IoU=0.532, F1=0.694, Precision=0.678, Recall=0.712
样本 140: Dice=0.725, IoU=0.569, F1=0.725, Precision=0.709, Recall=0.742
样本 141: Dice=0.675, IoU=0.509, F1=0.675, Precision=0.556, Recall=0.859
样本 142: Dice=0.545, IoU=0.374, F1=0.545, Precision=0.527, Recall=0.564
样本 143: Dice=0.691, IoU=0.528, F1=0.691, Precision=0.720, Recall=0.664
